Gemeentenaam,Gemeentecode,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
's-Gravenhage,GM0518,518,Zuid-Holland,PV28,28,Haaglanden,VR15,15,GGD Haaglanden,GG7014,7014,85731024.9444771,79827.5689376546,1588550400000,1181,281,164,545163,216.6,51.5,30.1,1
's-Hertogenbosch,GM0796,796,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,117766029.255421,69415.5834847616,1588550400000,441,124,71,155113,284.3,79.9,45.8,2
Aa en Hunze,GM1680,1680,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,278859332.694183,91500.8180294114,1588550400000,14,1,0,25453,55,3.9,0,3
Aalsmeer,GM0358,358,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,32312681.1340675,32690.9892688834,1588550400000,37,9,2,31857,116.1,28.3,6.3,4
Aalten,GM0197,197,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,97029805.3573914,51271.5375751559,1588550400000,53,6,5,27117,195.4,22.1,18.4,5
Achtkarspelen,GM0059,59,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,103994367.458435,55508.9622207415,1588550400000,10,0,0,27836,35.9,0,0,6
Alblasserdam,GM0482,482,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,10061190.4009972,16999.9552809411,1588550400000,40,10,2,20165,198.4,49.6,9.9,7
Albrandswaard,GM0613,613,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,23730010.7725525,21599.2016368651,1588550400000,88,10,7,25589,343.9,39.1,27.4,8
Alkmaar,GM0361,361,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,117315562.613468,68153.6650750395,1588550400000,225,53,25,109444,205.6,48.4,22.8,9
Almelo,GM0141,141,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,69410856.0931854,43568.8613298553,1588550400000,88,22,9,73080,120.4,30.1,12.3,10
Almere,GM0034,34,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,139862163.599083,59737.2925489043,1588550400000,341,119,12,211840,161,56.2,5.7,11
Alphen-Chaam,GM1723,1723,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,93540529.0382805,65684.8784518118,1588550400000,45,17,5,10213,440.6,166.5,49,12
Alphen aan den Rijn,GM0484,484,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,132435313.217503,57713.4615900133,1588550400000,164,57,22,111889,146.6,50.9,19.7,13
Altena,GM1959,1959,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,226664353.93116,87443.2766789959,1588550400000,118,30,11,55980,210.8,53.6,19.6,14
Ameland,GM0060,60,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,59004814.9070969,54357.1757104799,1588550400000,0,0,0,3718,0,0,0,15
Amersfoort,GM0307,307,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,63834637.6518745,53006.2816778329,1588550400000,172,56,22,157279,109.4,35.6,14,16
Amstelveen,GM0362,362,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,44064698.822216,31669.8206546904,1588550400000,295,55,33,91691,321.7,60,36,17
Amsterdam,GM0363,363,Noord-Holland,PV27,27,Amsterdam-Amstelland,VR13,13,GGD Amsterdam,GG3406,3406,196506076.760612,118977.148641742,1588550400000,1998,567,205,872779,228.9,65,23.5,18
Apeldoorn,GM0200,200,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,341114405.413803,93784.366251379,1588550400000,363,70,45,163829,221.6,42.7,27.5,19
Appingedam,GM0003,3,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,24547490.8045197,25733.2664481901,1588550400000,5,3,0,11644,42.9,25.8,0,20
Arnhem,GM0202,202,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,101581032.777885,59768.4143914138,1588550400000,261,64,23,161368,161.7,39.7,14.3,21
